SampleID	Locus	Reads	OutputDada2	OutputPostprocessing
DC3-1_S43_L001	Pf3D7_13_v3-1406713-1406975-1A	73	72	72
DC3-1_S43_L001	Pf3D7_13_v3-1419363-1419626-1A	53	52	52
DC3-1_S43_L001	Pf3D7_13_v3-1465616-1465890-1A	83	82	82
DC3-1_S43_L001	Pf3D7_13_v3-1465901-1466157-1A	78	77	77
DC3-1_S43_L001	Pf3D7_13_v3-1876391-1876664-1A	13	12	12
DC3-1_S43_L001	Pf3D7_13_v3-2114242-2114482-1A	118	118	118
DC3-1_S43_L001	Pf3D7_13_v3-2114829-2115090-1A	78	76	76
DC3-1_S43_L001	Pf3D7_13_v3-2545065-2545291-1A	154	151	151
DC3-1_S43_L001	Pf3D7_14_v3-106867-107115-1A	78	78	78
DC3-1_S43_L001	Pf3D7_14_v3-120101-120365-1A	70	68	68
DC3-1_S43_L001	Pf3D7_14_v3-137398-137668-1A	20	20	20
DC3-1_S43_L001	Pf3D7_14_v3-279563-279833-1A	49	49	49
DC3-1_S43_L001	Pf3D7_14_v3-377765-378020-1A	29	29	29
DC3-1_S43_L001	Pf3D7_14_v3-407306-407542-1A	116	115	115
DC3-1_S43_L001	Pf3D7_14_v3-421322-421547-1A	113	110	110
DC3-1_S43_L001	Pf3D7_14_v3-771407-771633-1A	175	172	172
DC3-1_S43_L001	Pf3D7_14_v3-921176-921432-1A	59	59	59
DC3-1_S43_L001	Pf3D7_14_v3-1038300-1038538-1A	119	113	113
DC3-1_S43_L001	Pf3D7_14_v3-1166107-1166371-1A	41	40	40
DC3-1_S43_L001	Pf3D7_14_v3-1392837-1393086-1A	79	79	79
DC3-1_S43_L001	Pf3D7_14_v3-1992121-1992370-1A	30	30	30
DC3-1_S43_L001	Pf3D7_14_v3-2004362-2004606-1A	77	77	77
DC3-1_S43_L001	Pf3D7_14_v3-2020604-2020849-1A	81	81	81
DC3-1_S43_L001	Pf3D7_14_v3-2260533-2260765-1A	130	129	129
DC3-1_S43_L001	Pf3D7_14_v3-2355614-2355853-1A	97	95	95
DC3-1_S43_L001	Pf3D7_14_v3-2695837-2696082-1A	66	65	65
DC3-1_S43_L001	Pf3D7_14_v3-2733345-2733593-1A	113	109	109
DC3-1_S43_L001	Pf3D7_14_v3-2858894-2859160-1A	57	57	57
DC3-1_S43_L001	Pf3D7_14_v3-3124416-3124655-1A	190	185	185
DC3-1_S43_L001	Pf3D7_14_v3-3125801-3126073-1A	48	45	45
DC3-1_S43_L001	Pf3D7_14_v3-3214249-3214516-1A	119	117	117
DC3-1_S43_L001	PKNH_12_v2-198869-199113-1AB	0	0	0
DC3-1_S43_L001	Pf3D7_13_v3-1041593-1041860-1AB	89	87	87
DC3-1_S43_L001	PmUG01_12_v1-1397996-1398245-1AB	0	0	0
