SampleID	Locus	Reads	OutputDada2	OutputPostprocessing
Dd2-11_S35_L001	Pf3D7_14_v3-293575-293829-1B	1060	1018	1018
Dd2-11_S35_L001	Pf3D7_14_v3-294506-294753-1B	3592	3461	3461
Dd2-11_S35_L001	Pf3D7_14_v3-297583-297856-1B	851	822	822
Dd2-11_S35_L001	Pf3D7_14_v3-297935-298162-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_14_v3-298368-298636-1B	883	849	849
Dd2-11_S35_L001	Pf3D7_14_v3-1954850-1955124-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_14_v3-1956056-1956330-1B	1464	1411	1411
Dd2-11_S35_L001	Pf3D7_14_v3-1956365-1956639-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_14_v3-1957218-1957480-1B	0	0	0
Dd2-11_S35_L001	Pf3D7_14_v3-2481033-2481276-1B	978	937	937
Dd2-11_S35_L001	Pf3D7_02_v3-320652-320949-2	2205	2122	0
Dd2-11_S35_L001	Pf3D7_03_v3-240957-241256-2	1113	261	0
Dd2-11_S35_L001	Pf3D7_05_v3-615379-615678-2	1265	1217	0
Dd2-11_S35_L001	Pf3D7_06_v3-857454-857753-2	127	126	0
Dd2-11_S35_L001	Pf3D7_08_v3-1365750-1365999-2	5883	5646	5646
Dd2-11_S35_L001	Pf3D7_08_v3-1366575-1366822-2	2	2	2
Dd2-11_S35_L001	Pf3D7_08_v3-1370814-1371045-2	1	0	0
Dd2-11_S35_L001	Pf3D7_08_v3-1375205-1375450-2	0	0	0
Dd2-11_S35_L001	Pf3D7_08_v3-1386786-1387035-2	0	0	0
Dd2-11_S35_L001	Pf3D7_11_v3-1902041-1902278-2	12314	11817	11817
Dd2-11_S35_L001	Pf3D7_11_v3-1950431-1950680-2	10440	10024	10024
Dd2-11_S35_L001	Pf3D7_11_v3-1968050-1968296-2	13535	12948	12948
Dd2-11_S35_L001	Pf3D7_11_v3-2001725-2001999-2	1973	1883	1883
Dd2-11_S35_L001	Pf3D7_13_v3-2770591-2770863-2	2302	2207	2207
Dd2-11_S35_L001	Pf3D7_13_v3-2814583-2814832-2	12203	11691	11691
Dd2-11_S35_L001	Pf3D7_13_v3-2840447-2840746-2	936	899	0
Dd2-11_S35_L001	Pf3D7_03_v3-221295-221532-2	9784	9418	9418
Dd2-11_S35_L001	Pf3D7_03_v3-980853-981120-2	2675	2571	2571
Dd2-11_S35_L001	Pf3D7_04_v3-1083299-1083563-2	2545	2466	2466
Dd2-11_S35_L001	Pf3D7_04_v3-748585-748822-2	1817	1745	1745
Dd2-11_S35_L001	Pf3D7_07_v3-403487-403750-2	2520	2436	2436
Dd2-11_S35_L001	Pf3D7_07_v3-405517-405773-2	1856	1776	1776
Dd2-11_S35_L001	Pf3D7_08_v3-550057-550318-2	4812	4609	4609
Dd2-11_S35_L001	Pf3D7_12_v3-2092654-2092884-2	10736	10330	10330
Dd2-11_S35_L001	Pf3D7_13_v3-1725124-1725365-2	5762	5507	5507
Dd2-11_S35_L001	Pf3D7_13_v3-1725379-1725652-2	1313	1258	1258
Dd2-11_S35_L001	Pf3D7_13_v3-1725887-1726123-2	1572	1494	1494
Dd2-11_S35_L001	Pf3D7_13_v3-1726174-1726408-2	3549	3424	3424
Dd2-11_S35_L001	Pf3D7_14_v3-294503-294768-2	2143	2054	2054
NTC11-1_S1_L001	Pf3D7_01_v3-145388-145662-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_01_v3-162867-163115-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_01_v3-181512-181761-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_01_v3-455794-456054-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_01_v3-528859-529104-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_01_v3-535965-536239-1A	0	0	0
NTC11-1_S1_L001	Pf3D7_02_v3-290580-290821-1A	0	0	0
